Type,Material,Diameter,Class,Description,CO2ekv kg/m
Pipe,Concrete,1000,Br,round,215
Pipe,Concrete,1000,Br,footed,215
Pipe,Concrete,1000,Dr,round,217
Pipe,Concrete,1000,Dr,footed,217
Pipe,Concrete,1000,Dr,chamfered,193
Pipe,Concrete,1200,Dr,round,285
Pipe,Concrete,1200,Dr,chamfered,257
Pipe,Concrete,1400,Br,round,379
Pipe,Concrete,1400,Br,footed,379
Pipe,Concrete,1400,Dr,round,383
Pipe,Concrete,1400,Dr,chamfered,315
Pipe,Concrete,1600,Br,round,491
Pipe,Concrete,1600,Dr,round,497
Pipe,Concrete,1600,Dr,chamfered,428
Pipe,Concrete,2000,Br,round,699
Pipe,Concrete,2000,Dr,round,711
Pipe,Concrete,2000,Dr,chamfered,540
Pipe,Concrete,225,B,round,15.4
Pipe,Concrete,300,Dr,round,27.8
Pipe,Concrete,400,Dr,round,35.7
Pipe,Concrete,500,B,round,49.3
Pipe,Concrete,500,Br,footed,67.1
Pipe,Concrete,500,Dr,round,52.4
Pipe,Concrete,500,Dr,footed,67.6
Pipe,Concrete,500,Dr,chamfered,47.3
Pipe,Concrete,600,B,round,67.7
Pipe,Concrete,600,Br,footed,91.8
Pipe,Concrete,600,Dr,footed,92.4
Pipe,Concrete,600,Dr,chamfered,61.6
Pipe,Concrete,800,Br,round,137.4
Pipe,Concrete,800,Dr,round,138.25
Pipe,Concrete,800,Dr,footed,142.2
Pipe,Concrete,800,Dr,chamfered,126.4
Pipe,Concrete,1200,Br,round,283
Pipe,Concrete,1200,Br,footed,283
Pipe,Concrete,400,B,round,35.2
